TS_Date,SP500,FTSEALLSHARE,USTreasury,RelID,RelSAA,RelIndustry,RelGroup,RelAUMGBPM,RelTime,AbsLabel,AbsARC,AbsPor,AbsBMK,AbsTime
19/01/2018,0.008766971,-0.006315259,-0.003967693,,,,,,,,,,,
12/01/2018,0.016116131,0.005368201,-0.002756397,,,,,,,,,,,
05/01/2018,0.026268588,0.005947853,-0.003941615,,,,,,,,,,,
29/12/2017,-0.003309086,0.013013972,0.005168365,,,,,,,,,,,
22/12/2017,0.003009041,0.014991637,-0.007104692,,,,,,,,,,,
15/12/2017,0.009451825,0.011260732,0.002699726,,,,,,,,,,,
08/12/2017,0.00388221,0.011420875,-0.000897585,,,,,,,,,,,
01/12/2017,0.015993261,-0.012330735,-0.000531721,,,,,,,,,,,
24/11/2017,0.009323239,0.005366806,0.001050455,,,,,,,,,,,
17/11/2017,-0.000570401,-0.006317035,0.00248101,,,,,,,,,,,
10/11/2017,-0.001430082,-0.016523026,-0.003006456,,,,,,,,,,,
03/11/2017,0.002940267,0.009149737,0.004953789,,,,,,,,,,,
27/10/2017,0.002326841,-0.001598852,-0.001654158,,,,,,,,,,,
20/10/2017,0.008846037,-0.00194389,-0.005236001,,,,,,,,,,,
13/10/2017,0.001652479,0.003008194,0.00498023,,,,,,,,,,,
06/10/2017,0.012504617,0.019806443,-0.002309639,,,,,,,,,,,
29/09/2017,0.007165144,0.010446686,-0.002778748,,,,,,,,,,,
22/09/2017,0.000897008,0.01198032,-0.002457792,,,,,,,,,,,
15/09/2017,0.016313756,-0.019903478,-0.007007088,,,,,,,,,,,
08/09/2017,-0.005828526,-0.007251198,0.005854589,,,,,,,,,,,
01/09/2017,0.0142687,0.005439241,0.00029847,,,,,,,,,,,
25/08/2017,0.00750705,0.009335446,0.001390266,,,,,,,,,,,
18/08/2017,-0.005824993,0.003223888,0.000108697,,,,,,,,,,,
11/08/2017,-0.013650524,-0.020759431,0.004705069,,,,,,,,,,,
04/08/2017,0.002320527,0.018870344,0.00201988,,,,,,,,,,,
28/07/2017,-1.33955E-05,-0.008890425,-0.003072783,,,,,,,,,,,
21/07/2017,0.005610052,0.011468348,0.005498348,,,,,,,,,,,
14/07/2017,0.014202215,0.003205693,0.003946167,,,,,,,,,,,
07/07/2017,0.001395421,0.004916504,-0.004581247,,,,,,,,,,,
30/06/2017,-0.005817587,-0.014789134,-0.006773156,,,,,,,,,,,
23/06/2017,0.002237943,-0.004954044,0.002031984,,,,,,,,,,,
16/06/2017,0.001161356,-0.006076469,0.003128192,,,,,,,,,,,
09/06/2017,-0.002715785,-0.002893013,-0.002224902,,,,,,,,,,,
02/06/2017,0.010075127,0.000328952,0.005457656,,,,,,,,,,,
26/05/2017,0.014665992,0.010748216,-5.48938E-05,,,,,,,,,,,
19/05/2017,-0.003173311,0.006373249,0.005122075,,,,,,,,,,,
12/05/2017,-0.002629806,0.017569489,0.001201497,,,,,,,,,,,
05/05/2017,0.006602462,0.011725774,-0.002937545,,,,,,,,,,,
28/04/2017,0.015265693,0.013556808,-0.002659648,,,,,,,,,,,
21/04/2017,0.008672631,-0.02427293,0.000283898,,,,,,,,,,,
14/04/2017,-0.011073545,0.000982549,0.00804542,,,,,,,,,,,
07/04/2017,-0.002428621,0.006462447,0.001289482,,,,,,,,,,,
31/03/2017,0.008242138,-0.000644254,0.000240391,,,,,,,,,,,
24/03/2017,-0.014245744,-0.01058218,0.00631289,,,,,,,,,,,
17/03/2017,0.00282886,0.011645669,0.004885186,,,,,,,,,,,
10/03/2017,-0.004007689,-0.00202779,-0.004569695,,,,,,,,,,,
03/03/2017,0.007130335,0.017697559,-0.009622918,,,,,,,,,,,
24/02/2017,0.007332285,-0.004639736,0.00588748,,,,,,,,,,,
17/02/2017,0.015956153,0.007910991,-0.000801353,,,,,,,,,,,
10/02/2017,0.008749289,0.011153957,0.004359194,,,,,,,,,,,
03/02/2017,0.001618178,0.002681833,-0.000655543,,,,,,,,,,,
27/01/2017,0.010402282,-0.001300908,-8.36793E-05,,,,,,,,,,,
20/01/2017,-0.001254278,-0.017055054,-0.003202069,,,,,,,,,,,
13/01/2017,-0.000902978,0.014906641,0.002299085,,,,,,,,,,,
06/01/2017,0.017616893,0.010530902,0.001800704,,,,,,,,,,,
