Asset Class,Time,Ret,CCY
UK REITs,MTD,-0.05050363,GBP
All Cap,YTD,-0.05143902,GBP
Large Cap,YTD,-0.05305603,GBP
UK REITs,YTD,-0.0776543,GBP
Intl REITs,YTD,-0.08322167,GBP
China,YTD,0.05364412,LC
Far East (ex Japan),YTD,0.02655574,LC
Emerging Mkt,YTD,0.02636886,LC
US,YTD,0.01766268,LC
Gold,YTD,0.01218287,LC
Pac Basin (ex Japan),YTD,0.005572446,LC
Hedge Funds,YTD,0.003943842,LC
EU Treasury,MTD,0.002702353,LC
UK Treasury,MTD,0.002565521,LC
Commodities,YTD,0.002221021,LC
Global,YTD,0.001014254,LC
Global Index Linked $,MTD,-0.001117489,LC
High Yield $,YTD,-0.004394066,LC
Swiss Treasury,MTD,-0.004760813,LC
US Treasury,MTD,-0.007532571,LC
EU Treasury,YTD,-0.007615242,LC
Investment Grade $,MTD,-0.008535452,LC
High Yield $,MTD,-0.009585544,LC
Pac Basin (ex Japan),MTD,-0.009621818,LC
Europe (ex UK),YTD,-0.01275548,LC
Global Index Linked $,YTD,-0.01464996,LC
Investment Grade $,YTD,-0.01547864,LC
Gold,MTD,-0.01664349,LC
Emerging Debt $,MTD,-0.01719811,LC
Commodities,MTD,-0.01729464,LC
Emerging Debt $,YTD,-0.0194396,LC
UK Treasury,YTD,-0.01961431,LC
Hedge Funds,MTD,-0.02001845,LC
US Treasury,YTD,-0.02101934,LC
Swiss Treasury,YTD,-0.02370326,LC
Japan,YTD,-0.0242815,LC
UK,MTD,-0.03272387,LC
Global,MTD,-0.03531146,LC
Europe (ex UK),MTD,-0.0366408,LC
Japan,MTD,-0.03716763,LC
US,MTD,-0.0372877,LC
Emerging Mkt,MTD,-0.03869659,LC
Far East (ex Japan),MTD,-0.04349007,LC
Swiss,MTD,-0.04793135,LC
UK,YTD,-0.05143902,LC
Swiss,YTD,-0.05290953,LC
China,MTD,-0.06369454,LC
Property*,YTD,-0.06621116,LC
Property*,MTD,-0.0664438,LC
Yen/$,YTD,0.05571442,USD
China,YTD,0.05284306,USD
Emerging Mkt,YTD,0.03338261,USD
Japan,YTD,0.03008002,USD
Far East (ex Japan),YTD,0.02844882,USD
Yen/$,MTD,0.02296061,USD
£/$,YTD,0.01855461,USD
US,YTD,0.01766268,USD
€/$,YTD,0.01569735,USD
Gold,YTD,0.01218287,USD
Pac Basin (ex Japan),YTD,0.004469313,USD
Hedge Funds,YTD,0.003943842,USD
US Cash,YTD,0.002956079,USD
Europe (ex UK),YTD,0.002787018,USD
Commodities,YTD,0.002221021,USD
US Cash,MTD,0.001403423,USD
Global (ex US),YTD,-0.003126957,USD
High Yield,YTD,-0.004394066,USD
US Treasury,MTD,-0.007532571,USD
Investment Grade,MTD,-0.008535452,USD
High Yield,MTD,-0.009585544,USD
US Index Linked,MTD,-0.00971837,USD
Japan,MTD,-0.01506052,USD
Investment Grade,YTD,-0.01547864,USD
Gold,MTD,-0.01664349,USD
Emerging Debt,MTD,-0.01719811,USD
Commodities,MTD,-0.01729464,USD
US Index Linked,YTD,-0.01820968,USD
Emerging Debt,YTD,-0.0194396,USD
Hedge Funds,MTD,-0.02001845,USD
€/$,MTD,-0.02095137,USD
US Treasury,YTD,-0.02101934,USD
£/$,MTD,-0.03108186,USD
Pac Basin (ex Japan),MTD,-0.03281078,USD
UK,YTD,-0.03548585,USD
US,MTD,-0.0372877,USD
Emerging Mkt,MTD,-0.04611931,USD
Global (ex US),MTD,-0.04750498,USD
Far East (ex Japan),MTD,-0.04797416,USD
Europe (ex UK),MTD,-0.05683466,USD
UK,MTD,-0.06396848,USD
China,MTD,-0.06404066,USD
Property*,YTD,-0.06621116,USD
Property*,MTD,-0.0664438,USD
