Country,Horizon,Return (%),Asset Class,"{role: 'tooltip', p: {html: 'true'}}"
Slovenia,YTD,1.504830648,Bond,null
Slovenia,12M,1.504830648,Bond,null
South Africa,1M,0.586808146,Bond,null
South Africa,YTD,-0.974064072,Bond,null
South Africa,12M,-0.974064072,Bond,null
South Korea,1M,1.060821751,Bond,null
South Korea,YTD,4.655653672,Bond,null
South Korea,12M,4.655653672,Bond,null
Spain,1M,0.761069839,Bond,null
Spain,YTD,2.949049052,Bond,null
Spain,12M,2.949049052,Bond,null
Sweden,1M,0.287779504,Bond,null
Sweden,YTD,1.427381274,Bond,null
Sweden,12M,1.427381274,Bond,null
Switzerland,1M,1.066209089,Bond,null
Switzerland,YTD,0.424571908,Bond,null
Switzerland,12M,0.424571908,Bond,null
Taiwan,1M,1.604523799,Bond,null
Taiwan,YTD,-0.97216641,Bond,null
Taiwan,12M,-0.97216641,Bond,null
Thailand,1M,1.22453735,Bond,null
Thailand,YTD,0.566985026,Bond,null
Thailand,12M,0.566985026,Bond,null
Tunisia,1M,0,Bond,null
Tunisia,YTD,0,Bond,null
Tunisia,12M,0,Bond,null
United Kingdom,1M,1.471499583,Bond,null
United Kingdom,YTD,-0.465556327,Bond,null
United Kingdom,12M,-0.465556327,Bond,null
United States,1M,1.692841773,Bond,null
United States,YTD,-1.520185069,Bond,null
United States,12M,-1.520185069,Bond,null
Uruguay,1M,2.826633556,Bond,null
Uruguay,YTD,-6.145061454,Bond,null
Uruguay,12M,-6.145061454,Bond,null
Venezuela,1M,0,Bond,null
Venezuela,YTD,0,Bond,null
Venezuela,12M,0,Bond,null
Argentina,1M,-4.642909185,Equity,null
Argentina,YTD,-47.67669782,Equity,null
Argentina,12M,-47.67669782,Equity,null
Australia,1M,-4.65557784,Equity,null
Australia,YTD,-6.347196035,Equity,<b>hi<b/>
Australia,12M,-6.347196035,Equity,<b>hi<b/>
Austria,1M,-12.15646202,Equity,<b>hi<b/>
Austria,YTD,-22.51825306,Equity,<b>hi<b/>
Austria,12M,-22.51825306,Equity,<b>hi<b/>
Bahrain,1M,-4.064616988,Equity,<b>hi<b/>
Bahrain,YTD,7.084004824,Equity,<b>hi<b/>
Bahrain,12M,7.084004824,Equity,<b>hi<b/>
Bangladesh,1M,-1.439325066,Equity,<b>hi<b/>
Bangladesh,YTD,-9.110054393,Equity,<b>hi<b/>
Bangladesh,12M,-9.110054393,Equity,<b>hi<b/>
Belgium,1M,-9.347179621,Equity,<b>hi<b/>
Belgium,YTD,-21.53571228,Equity,<b>hi<b/>
Belgium,12M,-21.53571228,Equity,<b>hi<b/>
Brazil,1M,-2.315267427,Equity,<b>hi<b/>
Brazil,YTD,6.055628009,Equity,<b>hi<b/>
Brazil,12M,6.055628009,Equity,<b>hi<b/>
Bulgaria,1M,-0.645867156,Equity,<b>hi<b/>
Bulgaria,YTD,-15.26653222,Equity,<b>hi<b/>
Bulgaria,12M,-15.26653222,Equity,<b>hi<b/>
Canada,1M,-8.00754921,Equity,<b>hi<b/>
Canada,YTD,-11.37328419,Equity,<b>hi<b/>
Canada,12M,-11.37328419,Equity,<b>hi<b/>
Chile,1M,-4.662949823,Equity,<b>hi<b/>
Chile,YTD,-13.87362637,Equity,<b>hi<b/>
Chile,12M,-13.87362637,Equity,<b>hi<b/>
China,1M,-4.812124005,Equity,<b>hi<b/>
China,YTD,-13.69984275,Equity,<b>hi<b/>
China,12M,-13.69984275,Equity,<b>hi<b/>
Colombia,1M,-4.463690873,Equity,<b>hi<b/>
Colombia,YTD,-5.905511811,Equity,<b>hi<b/>
Colombia,12M,-5.905511811,Equity,<b>hi<b/>
Croatia,1M,-0.035703711,Equity,<b>hi<b/>
Croatia,YTD,-3.536104739,Equity,<b>hi<b/>
Croatia,12M,-3.536104739,Equity,<b>hi<b/>
